pattern	n	pct	cues	x_mean	y_mean	z_mean
OOO	9	22.5	beckon_come_here, cheers_toast, firm_accept_forward_reach, guiding_arm, lean_forward_interest, nod_yes, request_turn, rub_eye_tired, self_scratch_head_confused	53.9	50.0	53.3
OOX	2	5.0	air_quotes, visor_search	59.0	45.0	60.0
OXO	1	2.5	tilt_head_curious	58	50	60
OXX	4	10.0	fist_pump, highfive_imitation, salute, shh_gesture	58.8	50.0	51.2
XOO	2	5.0	fistbump_invite, point_you	46.5	50.0	40.0
XOX	4	10.0	hands_up_surrender, point_self, raise_fists_victory, scratch_head_confused	56.2	52.5	45.0
XXO	3	7.5	slow_down_request_palm_down, stop_palm_out, throat_cut_stop	52.7	50.0	48.3
XXX	15	37.5	circle_temple_crazy, cover_mouth_gasp, cover_yawn_sleepy, facepalm, fan_face_hot, flex_bicep, highfive_invite, pat_self_back, pat_stomach, protective_arm_out, scale_expand, shake_head_no, shrug_idk, tap_temple_think, yield_turn	54.3	47.0	46.3
